Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0656377277619113,-0.0449999999999988,2.29266261721715,0,0,0,0.186774887849971,4.06423980219236E-05,-2.18634005648185E-20,1.87637236736056E-14,0.000347485975348893,-2.34800063185349E-20,0.000309956492124469,0,0,0,0,0,0,package://genos_body/meshes/base_link.STL,0.996078431372549,0.996078431372549,1,1,0,0,0,0,0,0,package://genos_body/meshes/base_link.STL,,Part30_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bag,0.116612594866228,0.195115283964584,-0.0281532798798317,0,0,0,22.0317913303056,0.329325495700432,0.000742015525740789,0.00851839270743643,0.151585577390128,0.00424011756727731,0.282391392384893,0,0,0,0,0,0,package://genos_body/meshes/bag.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://genos_body/meshes/bag.STL,,backbone_1-1,Origin_bag_fixed,,bag_fixed,fixed,-0.048,0,2.3361,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
other_arm,0.065833448779935,-0.00758303000363519,-0.0333351207291052,0,0,0,1.15961583971126,0.000780039308307398,-1.35736011166873E-05,1.84892465150726E-06,0.00107740234627636,1.29276462197406E-07,0.00134584573900668,0,0,0,0,0,0,package://genos_body/meshes/other_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://genos_body/meshes/other_arm.STL,,circular spline_MIR1_1-2;circular spline_MIR1_1-1;Part2_MIR3_1-4;part1202_MIR2_1-1;Part30_MIR2_1-1;Part29_MIR2_1-1;Part2_MIR3_1-2,Origin_other_arm_fixed,Axis_other_arm_fixed,other_arm_fixed,fixed,0,0.03972,-0.20528,1.5708,0.097223,1.5708,bag,0,0,0,,,,,,,,,,,,
nema_1,1.07363007373351E-11,0.038244189460183,0.00022042085092866,0,0,0,0.21993736848337,9.35780461342043E-05,-1.36945188469242E-16,3.91021599793746E-14,9.83529316218501E-05,2.01529706335941E-09,9.30083454728926E-05,0,0,0,0,0,0,package://genos_body/meshes/nema_1.STL,1,0.945098039215686,0.694117647058824,1,0,0,0,0,0,0,package://genos_body/meshes/nema_1.STL,,Motor de passo Nema 23.stp-1,Origin_nema_1_fixed,,nema_1_fixed,fixed,0.13105,-0.1275,2.2927,0,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
gearbox_1,8.33111357678717E-13,-0.00999411954819123,7.9219963922128E-13,0,0,0,0.202841956021701,0.000147864258182956,-9.67553713072785E-15,0,0.000254396862103912,-9.20447502631052E-15,0.000147864258182956,0,0,0,0,0,0,package://genos_body/meshes/gearbox_1.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://genos_body/meshes/gearbox_1.STL,,circular spline_1-2/front cover_1-1;circular spline_1-2/cover_1-1;circular spline_1-2/cover output side_1-1,Origin_gearbox_1_fixed,Axis_gearbox_1_fixed,gearbox_1_fixed,fixed,0.13105,0,2.2927,0,-1.3187,0,base_link,0,0,0,,,,,,,,,,,,
link_1,0.077727473357013,0.0249999999893867,0.0050000000405879,0,0,0,0.194782225878588,4.09206234646084E-05,4.21055016399653E-14,-3.72141548439145E-14,0.000343091980251374,-2.29864194529837E-15,0.000380766233284672,0,0,0,0,0,0,package://genos_body/meshes/link_1.STL,0.996078431372549,0.996078431372549,1,1,0,0,0,0,0,0,package://genos_body/meshes/link_1.STL,,Part29_1-1,Origin_link_1_rev,aduc_axis,link_1_rev,revolute,0.0082896,0.029,0.027951,-1.5708,0.25211,3.1416,gearbox_1,0,0,-1,20,20,0,1.57,,,,,,,,
link_1_1,0.0352753895613827,0.0104130843759721,-0.0149917618152269,0,0,0,0.236487383770919,0.000106071859790685,6.80366201844013E-15,2.87145084431375E-15,0.000185828354640971,-1.26571308308291E-14,0.000132297951246468,0,0,0,0,0,0,package://genos_body/meshes/link_1_1.STL,0.996078431372549,0.996078431372549,1,1,0,0,0,0,0,0,package://genos_body/meshes/link_1_1.STL,,part1202_1-1;Part2_1-2,Origin_link_1_1_fixed,,link_1_1_fixed,fixed,0.15,0.1,-0.002,0,0,3.1416,link_1,0,0,0,,,,,,,,,,,,
nema_2,3.83484355381825E-11,0.0382441894640014,0.000220420809023084,0,0,0,0.219937368483371,9.35780461342048E-05,-8.02116064078345E-16,3.90793300601243E-14,9.83529316218502E-05,2.01529738947543E-09,9.30083454728932E-05,0,0,0,0,0,0,package://genos_body/meshes/nema_2.STL,1,0.945098039215686,0.694117647058824,1,0,0,0,0,0,0,package://genos_body/meshes/nema_2.STL,,Motor de passo Nema 23.stp-3,Origin_nema_2_fixed,,nema_2_fixed,fixed,0.025,-0.0875,-0.075,3.1416,0,3.1416,link_1_1,0,0,0,,,,,,,,,,,,
gearbox_2,4.95667951128098E-11,0.0300058804556396,9.70779012732237E-12,0,0,0,0.202841956021701,0.000147864258182956,-1.12657922086736E-14,-6.7762635780344E-21,0.000254396862103912,-1.16488077441934E-14,0.000147864258182956,0,0,0,0,0,0,package://genos_body/meshes/gearbox_2.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://genos_body/meshes/gearbox_2.STL,,circular spline_1-1/front cover_1-1;circular spline_1-1/cover_1-1;circular spline_1-1/cover output side_1-1,Origin_gearbox_2_fixed,,gearbox_2_fixed,fixed,0.025,0,-0.075,3.1416,-1.2148,3.1416,link_1_1,0,0,0,,,,,,,,,,,,
link_2,0.188394539937194,0.00184830238674999,-0.022139553307787,0,0,0,1.04642759595816,0.000963429119729058,-3.57477112731684E-13,6.29360349273006E-13,0.00534113625498724,-0.000253176879944689,0.0053462667634848,0,0,0,0,0,0,package://genos_body/meshes/link_2.STL,0.996078431372549,0.996078431372549,1,1,0,0,0,0,0,0,package://genos_body/meshes/link_2.STL,,Part2_1-4;new forearm_1-1,Origin_link_2_rev,flex_axis,link_2_rev,revolute,0.018205,0.069,-0.022772,1.5708,-1.2148,0,gearbox_2,0,0,1,20,20,0,1.57,,,,,,,,
link_2_1,-0.0340527973502005,0.016875321642003,-0.0328885455408666,0,0,0,0.118926843670707,5.78725098312375E-05,2.7033470267572E-05,-3.68414378113843E-13,4.91005694314973E-05,8.13374718687384E-13,0.000102923508335283,0,0,0,0,0,0,package://genos_body/meshes/link_2_1.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://genos_body/meshes/link_2_1.STL,,Part6_1-1;Part6_1-2;Part2_1-1,Origin_link_2_1_fixed,,link_2_1_fixed,fixed,0.32,0.04,0.028,3.1416,0,2.2758,link_2,0,0,0,,,,,,,,,,,,
nema_3,-9.35690691594715E-11,-0.038244189457463,-0.000220420822295786,0,0,0,0.219937368483371,9.35780461342047E-05,-4.45382084497665E-16,-3.91807927685863E-14,9.83529316218499E-05,2.01529780817109E-09,9.30083454728933E-05,0,0,0,0,0,0,package://genos_body/meshes/nema_3.STL,1,0.945098039215686,0.694117647058824,1,0,0,0,0,0,0,package://genos_body/meshes/nema_3.STL,,Motor de passo Nema 23.stp-2,Origin_nema_3_fixed,,nema_3_fixed,fixed,-0.060026,0.047402,-0.1165,-1.5708,0,0.70498,link_2_1,0,0,0,,,,,,,,,,,,
gearbox_3,0.0142292691059915,-0.0291483328733935,-0.00199341574787516,0,0,0,0.455824436468215,0.00130949343089516,2.63791727616474E-06,1.80391519762986E-07,0.000413534576545518,-3.75734006176589E-05,0.000960258974633516,0,0,0,0,0,0,package://genos_body/meshes/gearbox_3.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://genos_body/meshes/gearbox_3.STL,,single stage_1-1/shaft_1-1;single stage_1-1/cover_11-1;single stage_1-1/back plate_1-1,Origin_gearbox_3_fixed,,gearbox_3_fixed,fixed,-0.098016,0.092052,0.0090658,0.77327,1.5708,0,link_2_1,0,0,0,,,,,,,,,,,,
link_3,0.173394539943381,-0.0231516976717898,-0.0321395533095599,0,0,0,1.04642759595816,0.00096342911972906,-3.37833117012798E-13,6.28226274078858E-13,0.00534113625501816,-0.000253176879945003,0.00534626676345392,0,0,0,0,0,0,package://genos_body/meshes/link_3.STL,0.996078431372549,0.996078431372549,1,1,0,0,0,0,0,0,package://genos_body/meshes/link_3.STL,,Part2_1-3;new forearm_1-2,Origin_link_3_rev,Axis_link_3_rev,link_3_rev,revolute,-0.008936,0,0,1.5708,-0.068295,1.5708,gearbox_3,0,0,1,20,20,0,1.57,,,,,,,,
